college_code,branch_code,community,predicted_closing_rank_2026
1127,CH,OC,136114
1127,CH,SC,241441
1127,CH,SCA,177912
1127,CS,BC,228822
1127,CS,MBC,227326
1127,CS,OC,143517
1127,CS,SC,217924
1127,EC,BC,228584
1127,EC,MBC,232212
1127,EC,OC,165183
1127,EC,SC,219752
1127,EE,BC,235468
1127,EE,MBC,226852
1127,EE,OC,188278
1127,EE,SC,233469
1127,IT,BC,239611
1127,IT,MBC,235676
1127,IT,OC,169552
1127,IT,SC,244557
1127,ME,BC,228214
1127,ME,MBC,235903
1127,ME,OC,190420
1127,ME,SC,238069
1128,AD,BC,59952
1128,AD,MBC,61751
1128,AD,OC,45276
1128,AD,SC,127504
1128,AD,SCA,134986
1128,AD,ST,166439
1128,CS,BC,66154
1128,CS,MBC,59192
1128,CS,OC,42017
1128,CS,SC,131896
1128,CS,SCA,227343
1128,CS,ST,172484
1128,EC,BC,68565
1128,EC,MBC,65744
1128,EC,OC,44355
1128,EC,SC,139156
1128,EC,ST,203725
1128,EV,BC,79433
1128,EV,MBC,74233
1128,EV,OC,53350
1128,EV,SC,165696
1128,SC,BC,53804
1128,SC,MBC,67673
1128,SC,OC,42086
1128,SC,SC,110984
1128,SC,SCA,151203
1133,AD,BC,187576
1133,AD,MBC,231139
1133,AD,OC,179209
1133,AD,SC,221575
1133,CS,BC,235747
1133,CS,MBC,246673
1133,CS,OC,185156
1133,CS,SC,187052
1133,CS,SCA,137375
1133,CS,ST,195773
1133,EC,BC,174216
1133,EC,MBC,242570
1133,EC,OC,238313
1133,EC,SC,247441
1133,ME,OC,249474
1137,AD,BC,134539
1137,AD,MBC,134744
1137,AD,OC,104012
1137,AD,SC,159936
1137,AD,SCA,210454
1137,AD,ST,255595
1137,CE,BC,241820
1137,CE,MBC,223184
1137,CE,OC,187312
1137,CE,SC,205110
1137,CS,BC,140435
1137,CS,MBC,133906
1137,CS,OC,81869
1137,CS,SC,214063
1137,CS,SCA,192415
1137,EC,BC,136798
1137,EC,MBC,124780
1137,EC,OC,88901
1137,EC,SC,230127
1137,EC,SCA,143583
1137,EE,BC,147136
1137,EE,MBC,141106
1137,EE,OC,134387
1137,EE,SC,214596
1137,IT,BC,220846
1137,IT,MBC,142046
1137,IT,OC,94891
1137,IT,SC,209958
1137,IT,SCA,179732
1137,IT,ST,119286
1137,ME,BC,237293
1137,ME,MBC,233245
1137,ME,OC,190892
1137,ME,SC,238364
1137,ME,SCA,238187
1140,AD,BC,97735
1140,AD,MBC,101229
1140,AD,OC,48261
1140,AD,SC,156561
1140,AD,SCA,182527
1140,CB,BC,89485
1140,CB,MBC,100738
1140,CB,OC,71987
1140,CB,SC,153286
1140,CS,BC,95128
1140,CS,MBC,102331
1140,CS,OC,55394
1140,CS,SC,174826
1140,CS,ST,177031
1140,EC,BC,84145
1140,EC,MBC,101705
1140,EC,OC,56193
1140,EC,SC,153802
1140,IT,BC,110531
1140,IT,MBC,112610
1140,IT,OC,73152
1140,IT,SC,179823
1140,IT,ST,219079
1140,ME,BC,148612
1140,ME,MBC,162901
