college_code,college_name,branch_code,branch_name,OC,BC,BCM,MBC,SC,SCA,ST,TOTAL
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,26,23,2,15,12,3,1,82
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),17,14,2,11,9,0,1,54
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",BT,BIO TECHNOLOGY,8,8,1,5,4,1,1,28
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",CE,CIVIL ENGINEERING,3,3,1,3,2,1,0,13
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",CH,CHEMICAL ENGINEERING,8,7,1,6,4,1,0,27
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",CS,COMPUTER SCIENCE AND ENGINEERING,25,22,3,15,12,3,1,81
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,17,14,2,12,8,2,0,55
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",IT,INFORMATION TECHNOLOGY,18,13,2,11,8,1,1,54
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",ME,MECHANICAL ENGINEERING,8,8,1,6,4,1,0,28
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,5,6,0,4,2,0,1,18
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",AE,AERONAUTICAL ENGINEERING,6,4,1,4,2,0,0,17
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),5,5,1,3,3,1,0,18
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",BT,BIO TECHNOLOGY,5,5,1,3,3,0,0,17
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEMS,5,5,0,2,2,1,1,16
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",CO,COMPUTER AND COMMUNICATION ENGINEERING,6,4,0,4,3,1,0,18
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",CS,COMPUTER SCIENCE AND ENGINEERING,5,4,1,4,3,1,0,18
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,5,5,0,4,3,1,0,18
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",IT,INFORMATION TECHNOLOGY,6,4,1,3,3,0,0,17
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",MD,MEDICAL ELECTRONICS,6,4,1,3,3,1,0,18
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",MU,MECHANICAL AND AUTOMATION ENGINEERING,7,4,1,4,3,0,0,19
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",PH,PHARMACEUTICAL TECHNOLOGY,5,5,1,4,3,0,0,18
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",RM,ROBOTICS AND AUTOMATION,5,5,1,4,3,1,0,19
1123,"Gojan School of Business and Technology (Autonomous), 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai- 600052.",SC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),5,5,0,4,1,1,1,17
1126,"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur- 601102.",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,67,57,9,44,33,6,2,218
1126,"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur- 601102.",AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),11,10,1,8,6,2,0,38
1126,"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur- 601102.",BM,BIO MEDICAL ENGINEERING,8,7,1,5,3,1,1,26
1126,"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur- 601102.",CS,COMPUTER SCIENCE AND ENGINEERING,77,67,8,49,37,8,3,249
1126,"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur- 601102.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,59,51,6,38,28,6,2,190
1126,"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur- 601102.",EV,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),15,14,2,11,7,1,0,50
1126,"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur- 601102.",RM,ROBOTICS AND AUTOMATION,16,13,2,9,9,0,1,50
1126,"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur- 601102.",SC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),26,21,3,16,12,3,0,81
1127,"St. Peter's College of Engineering and Technology(Autonomous), College Road, Avadi Taluk, Thiruvallur District, Chennai-600054.",BT,BIO TECHNOLOGY,14,13,2,9,7,1,1,47
1127,"St. Peter's College of Engineering and Technology(Autonomous), College Road, Avadi Taluk, Thiruvallur District, Chennai-600054.",CH,CHEMICAL ENGINEERING,7,5,1,4,2,1,0,20
1127,"St. Peter's College of Engineering and Technology(Autonomous), College Road, Avadi Taluk, Thiruvallur District, Chennai-600054.",CS,COMPUTER SCIENCE AND ENGINEERING,24,22,3,16,12,2,1,80
1127,"St. Peter's College of Engineering and Technology(Autonomous), College Road, Avadi Taluk, Thiruvallur District, Chennai-600054.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,11,9,1,7,5,1,1,35
1127,"St. Peter's College of Engineering and Technology(Autonomous), College Road, Avadi Taluk, Thiruvallur District, Chennai-600054.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,15,12,0,10,7,1,0,45
1127,"St. Peter's College of Engineering and Technology(Autonomous), College Road, Avadi Taluk, Thiruvallur District, Chennai-600054.",IT,INFORMATION TECHNOLOGY,28,24,3,18,14,3,1,91
1127,"St. Peter's College of Engineering and Technology(Autonomous), College Road, Avadi Taluk, Thiruvallur District, Chennai-600054.",ME,MECHANICAL ENGINEERING,12,10,2,7,7,2,0,40
1128,"R.M.K. College of Engineering and Technology (Autonomous), R.S.M. Nagar, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District-601206.",CA,COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE),34,28,4,22,17,3,1,109
1128,"R.M.K. College of Engineering and Technology (Autonomous), R.S.M. Nagar, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District-601206.",CS,COMPUTER SCIENCE AND ENGINEERING,41,36,6,27,20,4,2,136
1128,"R.M.K. College of Engineering and Technology (Autonomous), R.S.M. Nagar, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District-601206.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,26,22,2,16,12,2,1,81
1128,"R.M.K. College of Engineering and Technology (Autonomous), R.S.M. Nagar, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District-601206.",SC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),8,8,1,5,5,1,0,28
1128,"R.M.K. College of Engineering and Technology (Autonomous), R.S.M. Nagar, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District-601206.",VL,ELECTRONICS AND COMMUNICATION ENGINEEIRNG(VLSI DESIGN AND TECHNOLOGY),9,7,1,6,3,1,0,27
1133,"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedungundram, Chennai-600048.",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,11,9,1,7,5,1,1,35
1133,"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedungundram, Chennai-600048.",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEMS,6,6,1,3,3,1,0,20
1133,"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedungundram, Chennai-600048.",CE,CIVIL ENGINEERING,6,6,0,5,3,0,0,20
1133,"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedungundram, Chennai-600048.",CS,COMPUTER SCIENCE AND ENGINEERING,11,10,1,6,6,1,1,36
1133,"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedungundram, Chennai-600048.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,13,10,2,8,6,0,1,40
1133,"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedungundram, Chennai-600048.",ME,MECHANICAL ENGINEERING,16,13,1,11,7,2,0,50
1133,"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedungundram, Chennai-600048.",SC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),14,12,2,9,7,2,0,46
