college_code,college_name_full,college_name_short,college_type,district
5862,"R V S Educational Trust’s Groups of Institutions (Integrated Campus), N Paraipatti Post, Vedasandur Taluk, Dindigul District 624005",R V S Educational Trust’s Groups of Institutions (Integrated Campus),Self Financing Engineering Colleges,
5863,"R V S School of Architecture, N Paraipatti Post, Vedasandur Taluk, Dindigul District 624005",R V S School of Architecture,Self Financing Engineering Colleges,
5865,"Nadar Saraswathi College of Engineering and Technology, Vadupudupatti, Annanji Post, Theni District 625531",Nadar Saraswathi College of Engineering and Technology,Self Financing Engineering Colleges,Theni
5901,"Alagappa Chettiar Government College of Engineering and Technology (Autonomous), Karaikudi, Sivagangai District 630004",Alagappa Chettiar Government College of Engineering and Technology (Autonomous),Government Colleges,Sivagangai
5902,"Bharath Niketan Engineering College, Thimmarasanaickanoor, Aundipatti, Theni District 625536",Bharath Niketan Engineering College,Self Financing Engineering Colleges,Theni
5904,"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611",K L N College of Engineering (Autonomous),Self Financing Engineering Colleges,Sivagangai
5907,"Mohamed Sathak Engineering College, Kilakarai, Ramanathapuram District 623806",Mohamed Sathak Engineering College,Self Financing Engineering Colleges,Ramanathapuram
5910,"P S N A Colllege of Engineering and Technology, Dindigul District 624622",P S N A Colllege of Engineering and Technology,Self Financing Engineering Colleges,
5911,"P T R College of Engineering and Technology, Austinpatty Post, Madurai District 625008",P T R College of Engineering and Technology,Self Financing Engineering Colleges,Madurai
5912,"Pandian Saraswathi Yadav Engineering College, Thirumansolai Post, Sivagangai District 630 561",Pandian Saraswathi Yadav Engineering College,Self Financing Engineering Colleges,Sivagangai
5913,"R V S College of Engineering, N Paraipatti Post, Dindigul District 624005",R V S College of Engineering,Self Financing Engineering Colleges,
5914,"SOLAMALAI COLLEGE OF ENGINEERIG, Veerapanjan, Madurai District 625020",SOLAMALAI COLLEGE OF ENGINEERIG,Self Financing Engineering Colleges,Madurai
5915,"SACS-M A V M M Engineering College, Kidaripatty Post, Madurai District 625001",SACS-M A V M M Engineering College,Self Financing Engineering Colleges,Madurai
5919,"St. Michael College of Engineering and Technology, Kalayarkoil, Sivagangai District 630551",St. Michael College of Engineering and Technology,Self Financing Engineering Colleges,Sivagangai
5921,"Syed Ammal Engineering College, Achuthan Vayal Post, Ramanathapuram District 623502",Syed Ammal Engineering College,Self Financing Engineering Colleges,Ramanathapuram
5924,"Ganapathy Chettiar College of Engineering and Technology, Melakavanur Post, Paramakudi, Ramanathapuram District 623706",Ganapathy Chettiar College of Engineering and Technology,Self Financing Engineering Colleges,Ramanathapuram
5930,"SBM College of Engineering and Technology, Thamaraipady, T N Paraipatti Pirivu, Dindigul District 624005",SBM College of Engineering and Technology,Self Financing Engineering Colleges,
5935,"Fatima Michael College of Engineering & Technology, Sengottai Village, Sivagangai Main Road, Madurai District 625020",Fatima Michael College of Engineering & Technology,Self Financing Engineering Colleges,Sivagangai
5942,"Ultra College of Engineering and Technology, Kodikulam, 1 Bit Village, Madurai-Chennai Highway, Madurai District 625104",Ultra College of Engineering and Technology,Self Financing Engineering Colleges,Madurai
5986,"Velammal College of Engineering and Technology, Madurai District 625009",Velammal College of Engineering and Technology,Self Financing Engineering Colleges,Madurai
5988,"Theni Kammavar Sangam College of Technology, Theni Main Road, Koduvillarpatti Post, Theni District 625534",Theni Kammavar Sangam College of Technology,Self Financing Engineering Colleges,Theni
5990,"Latha Mathavan Engineering College, Kidaripatti Post, Alagarkoil (Via), Melur Taluk, Madurai District 625301",Latha Mathavan Engineering College,Self Financing Engineering Colleges,Madurai
